InChIKey,SMILES
KWOLFJPFCHCOCG-UHFFFAOYSA-N,CC(=O)c1ccccc1
KRIOVPPHQSLHCZ-UHFFFAOYSA-N,CCC(=O)c1ccccc1
IMACFCSSMIZSPP-UHFFFAOYSA-N,O=C(CCl)c1ccccc1
PJGSXYOJTGTZAV-UHFFFAOYSA-N,CC(=O)C(C)(C)C
XHLHPRDBBAGVEG-UHFFFAOYSA-N,O=C1CCCc2ccccc21
RIFKADJTWUGDOV-UHFFFAOYSA-N,CC(=O)C1CCCCC1
KYNHSQQWQIIFTG-UHFFFAOYSA-N,O=C1CCCC=C1Br
GGWCZBGAIGGTDA-UHFFFAOYSA-N,COc1ccc2cc(C(C)=O)ccc2c1
XVRCVKWYKYJEIG-UHFFFAOYSA-N,COC(=O)CCC(=O)c1ccccc1
GRIWFUFDJOESIC-UHFFFAOYSA-N,COC(=O)CCCC(=O)c1ccccc1
RUENABICCRWAEK-UHFFFAOYSA-N,COC(=O)CCC(=O)c1ccc(OC)c(OC)c1
JDVISUFZLXDPQJ-UHFFFAOYSA-N,COC(CC1=CCCC1=O)OC
FFZLOJDYTNKOCQ-UHFFFAOYSA-N,C=CC1=C(C)C(=O)CCC1(C)C
KTJRGPZVSKWRTJ-UHFFFAOYSA-N,O=C(CCCl)c1ccccc1
HHZPPLBLSSEAQT-UHFFFAOYSA-N,C=C(OC(=O)OCC)C1=C(C)C(=O)CCC1(C)C
JYAQYXOVOHJRCS-UHFFFAOYSA-N,CC(=O)c1cccc(Br)c1
BAYUSCHCCGXLAY-UHFFFAOYSA-N,COc1cccc(C(C)=O)c1
XSAYZAUNJMRRIR-UHFFFAOYSA-N,CC(=O)c1ccc2ccccc2c1
WJZDXONSAPNKGB-UHFFFAOYSA-N,O=C1CCC=C1Br
LZIVBWLOLYCDAZ-UHFFFAOYSA-N,CC(=O)C(c1ccccc1)(c1ccccc1)c1ccccc1
WYJOVVXUZNRJQY-UHFFFAOYSA-N,CC(=O)c1cccs1
UWSLJSQGWHYSDM-UHFFFAOYSA-N,CCNCC(=O)c1ccc(Cl)c(Cl)c1
MSTDXOZUKAQDRL-UHFFFAOYSA-N,O=C1CCOc2ccccc21
CVQSWZMJOGOPAV-UHFFFAOYSA-N,O=C1CCSc2ccccc21
NLPHXWGWBKZSJC-UHFFFAOYSA-N,CC(=O)c1ccc(C#N)cc1
AEVMBQIIZGKQRB-UHFFFAOYSA-N,CC(=O)CCCC#N
QQZOPKMRPOGIEB-UHFFFAOYSA-N,CCCCC(C)=O
ZDPAWHACYDRYIW-UHFFFAOYSA-N,CC(=O)c1ccc(F)cc1
NTPLXRHDUXRPNE-UHFFFAOYSA-N,COc1ccc(C(C)=O)cc1
KWHUHTFXMNQHAA-UHFFFAOYSA-N,O=C1CCCCc2ccccc21
QNXSIUBBGPHDDE-UHFFFAOYSA-N,O=C1CCc2ccccc21
BTJCLODZUWAGCT-IJLUTSLNSA-N,CC[C@@H](C)C[C@@H](C)C[C@@H](C)CC(C)=O
GCVAEUQDYWOLCF-UHFFFAOYSA-N,COc1cc(C(C)=O)ccc1OC(C)=O
CBOPQVXWIKRPKD-UHFFFAOYSA-N,O=C1CCCC1(c1ccccc1)c1ccccc1
FODUVZQSLRHUMC-UHFFFAOYSA-N,COc1cccc(C(C)=O)c1OC
DWPLEOPKBWNPQV-UHFFFAOYSA-N,COc1ccccc1C(C)=O
KPBCVVSDGJBODL-UHFFFAOYSA-N,CC(=O)c1ccccc1Oc1ccccc1
CLEOFCSYMMMFEG-UHFFFAOYSA-N,COc1cccc(C(C)=O)c1Oc1ccccc1
QNEZGBYRBDJSFT-UHFFFAOYSA-N,COc1c(C)c2c(c([Si](C)(C)C(C)(C)C)c1CC(=O)C1=CCCC1)C(=O)OC2
UPEUQDJSUFHFQP-UHFFFAOYSA-N,CC(=O)C#Cc1ccccc1
XAJIQJSLJKBJTP-UHFFFAOYSA-N,CCC(=O)C#Cc1ccccc1
BXYHYUVKQUDMJD-UHFFFAOYSA-N,CCCCCCC(=O)C#Cc1ccccc1
AOOHPXMHKBITKB-UHFFFAOYSA-N,CC(C)C(=O)C#Cc1ccccc1
PFIKCDNZZJYSMK-UHFFFAOYSA-N,O=C(C#Cc1ccccc1)C1CCCCC1
UWEKKSOZSXKQOQ-UHFFFAOYSA-N,C#CC(=O)CCCCCCC
VRZSUVFVIIVLPV-UHFFFAOYSA-N,C#CC(=O)C1CCCCC1
ZFJFROHCPHULKY-LUAWRHEFSA-N,O=C1CCC/C1=C/c1ccccc1
ZFJFROHCPHULKY-PKNBQFBNSA-N,O=C1CCC/C1=C\c1ccccc1
VCDPHYIZVFJQCD-ZRDIBKRKSA-N,O=C1CCCC/C1=C\c1ccccc1
NYSYNXRPXJZYFY-UHFFFAOYSA-N,O=C1CCCC1=C1CCCC1
GSSRLAIHCZNDAA-SOFGYWHQSA-N,CC(C)/C=C1\CCCC1=O
WWHQKPBWGGRGPU-FMIVXFBMSA-N,CCCCCCC/C=C1\CCCC1=O
XLLDMGPEOCTHPV-UHFFFAOYSA-N,O=C1CCN2C(=O)CCC=C12
ZMOYCFVCHCPLPQ-UHFFFAOYSA-N,O=C1CCN2C(=O)CCCC=C12
IFROQBZVEYKUHT-UHFFFAOYSA-N,CC(C)(C)OC(=O)CN1CCC2(CC1)C(=O)Cc1ccccc12
UOTSYAILGSUTAC-UHFFFAOYSA-N,C=C(CC)C(C)=O
ZIAUNOWNSIKDPU-UHFFFAOYSA-N,CC1=C(Br)C(=O)CCC1
SYBYTAAJFKOIEJ-UHFFFAOYSA-N,CC(=O)C(C)C
MCRINSAETDOKDE-UHFFFAOYSA-N,COc1ccc(C(=O)CCl)cc1
GNKZMNRKLCTJAY-UHFFFAOYSA-N,CC(=O)c1ccc(C)cc1
LKTNAAYQZJAXCJ-UHFFFAOYSA-N,CC1=CCCCC1=O
AJJMCZDTONCKDU-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)NCc2ccccc2C(=O)c2ccccc2)cc1
QCCDLTOVEPVEJK-UHFFFAOYSA-N,CC(=O)Cc1ccccc1
AKGGYBADQZYZPD-UHFFFAOYSA-N,CC(=O)CCc1ccccc1
DYQAZJQDLPPHNB-UHFFFAOYSA-N,CCCCC(=O)Cc1ccccc1
PFJFIFJKDPIALO-UHFFFAOYSA-N,O=C(CCc1ccccc1)Cc1ccccc1
NHBBLULITNXPDY-UHFFFAOYSA-N,O=C(Cc1ccccc1)C1CCCCC1
OTKCEEWUXHVZQI-UHFFFAOYSA-N,O=C(Cc1ccccc1)c1ccccc1
ZGTHHNNORWULAE-UHFFFAOYSA-N,CCCCC(=O)CCc1ccccc1
ICADMAXOJLUEEB-UHFFFAOYSA-N,CCCCC(=O)C1CCCCC1
XKGLSKVNOSHTAD-UHFFFAOYSA-N,CCCCC(=O)c1ccccc1
LFBKBXCVHMMYSM-UHFFFAOYSA-N,O=C(CCc1ccccc1)C1CCCCC1
QGGZBXOADPVUPN-UHFFFAOYSA-N,O=C(CCc1ccccc1)c1ccccc1
BMFYCFSWWDXEPB-UHFFFAOYSA-N,O=C(c1ccccc1)C1CCCCC1
BZKFMUIJRXWWQK-UHFFFAOYSA-N,O=C1C=CCC1
QQXJNLYVPPBERR-UHFFFAOYSA-N,CCCCCCCCCC(=O)c1ccccc1
LHJBFOGCFZHBAJ-UHFFFAOYSA-N,CCCCCCCCCCC(=O)c1ccccc1
DJNJZIFFCJTUDS-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)c1ccccc1
ZZNDQCACFUJAKJ-UHFFFAOYSA-N,CCCCCCCCCCCCC(=O)c1ccccc1
LXUIUVLDNRQBQJ-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)c1ccccc1
VUXIOSYYRVXOOT-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCC(=O)c1ccccc1
DBLXXVQTWJFJFI-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)c1ccccc1
ZAVHZGXNVXPEQL-UHFFFAOYSA-N,CCCCCCCCCCC(=O)c1ccc(C)cc1
UPXYDTHCXGAAOR-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)c1ccc(Br)cc1
LQWPEACAJAMZQF-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)c1ccc(O)cc1
VYEAAEOKYGNCAW-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)C1CC=CCO1
OXNUVECEMGENBT-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)c1ccco1
PKZFXANDBXVDRM-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)c1cccs1
GRKKWJQOJDWEEN-UHFFFAOYSA-N,CCCCCCCCCCC(=O)c1ccc2ccccc2c1
DFYJCXSOGSYMAJ-UHFFFAOYSA-N,CC(C)(C)c1ccc(C(=O)c2ccccc2)cc1
YXWWHNCQZBVZPV-UHFFFAOYSA-N,CC(=O)c1ccccc1C
PJCBRWRFLHBSNH-UHFFFAOYSA-N,Cc1ccc(C)c(C(=O)c2ccccc2)c1
PVSHPLKPKFIRHX-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)NCCc2ccc(C)cc2C(=O)c2ccccc2)cc1
CKGKXGQVRVAKEA-UHFFFAOYSA-N,Cc1ccccc1C(=O)c1ccccc1
ZWEHNKRNPOVVGH-UHFFFAOYSA-N,CCC(C)=O
ZPVFWPFBNIEHGJ-UHFFFAOYSA-N,CCCCCCC(C)=O
FFSAXUULYPJSKH-UHFFFAOYSA-N,CCCC(=O)c1ccccc1
BSMGLVDZZMBWQB-UHFFFAOYSA-N,CC(C)C(=O)c1ccccc1
OECPUBRNDKXFDX-UHFFFAOYSA-N,CC(C)(C)C(=O)c1ccccc1
FNENWZWNOPCZGK-UHFFFAOYSA-N,CCOC(=O)C(C)C(C)=O
LIGACIXOYTUXAW-UHFFFAOYSA-N,O=C(CBr)c1ccccc1
WYECURVXVYPVAT-UHFFFAOYSA-N,CC(=O)c1ccc(Br)cc1
ADCYRBXQAJXJTD-UHFFFAOYSA-N,CCC(=O)c1ccc(Cl)cc1
VYWPPRLJNVHPEU-UHFFFAOYSA-N,O=C(CCl)c1ccc(Cl)cc1Cl
JGUYBMKIKPABSY-UHFFFAOYSA-N,CCCC(=O)c1ccc(Cl)cc1-c1ccc(Br)cc1
AMHOPTNGSNYSBL-UHFFFAOYSA-N,CCC(=O)C1CCCCC1
UYMHLXHLPQIDMA-UHFFFAOYSA-N,CCCC(=O)C1CCCCC1
LKENTYLPIUIMFG-UHFFFAOYSA-N,CC(=O)C1CCCC1
YRNDGUSDBCARGC-UHFFFAOYSA-N,COCC(=O)c1ccccc1
QHTSEJJUUBOESF-UHFFFAOYSA-N,CCC(=O)c1ccc([N+](=O)[O-])cc1
PIMNFNXBTGPCIL-UHFFFAOYSA-N,CC(=O)c1ccccc1Br
SYWQQEVHZPPLNQ-UHFFFAOYSA-N,O=C(CCCl)c1ccc(Br)cc1
DKVCHMQHUMLKPO-UHFFFAOYSA-N,CCC(=O)c1cc(OC)ccc1OC
NVAHZHOCRQCUBY-UHFFFAOYSA-N,CCOC(=O)C(C)(C)C(C)=O
FTGZMZBYOHMEPS-UHFFFAOYSA-N,CC1(C)CCCC1=O
TZHZMYGNHVTEFA-MRVPVSSYSA-N,COC(=O)[C@]1(C)CCCC1=O
KNSPBSQWRKKAPI-UHFFFAOYSA-N,CC1(C)CCCCC1=O
QRYJGVNQNLCGGZ-UHFFFAOYSA-N,O=C1CCCC12CCCC2
XVKCCRCIQKVMPK-UHFFFAOYSA-N,CCCCCCCCC#CC(=O)C(C)(C)C
HJPJVTHMENRJQA-UHFFFAOYSA-N,CCCCCCCCC#CC(=O)C(C)(C)c1ccccc1
TYGJBMAZCWFZFC-UHFFFAOYSA-N,C=CCC(C)(C)C(=O)C#CCCCCCCCC
QRJXIADOTSHIRY-UHFFFAOYSA-N,CCCCCCCCC#CC(=O)C(C)(C)CCC
MMUXSGDQWCOFKS-UHFFFAOYSA-N,CCCCCCCCC#CC(=O)C(C)(CC)CCC
ZKJADHMQUMUECR-UHFFFAOYSA-N,CCCCCCCCC#CC(=O)C(CC)(CC)CCC
BWHOZHOGCMHOBV-BQYQJAHWSA-N,CC(=O)/C=C/c1ccccc1
FWFSEYBSWVRWGL-UHFFFAOYSA-N,O=C1C=CCCC1
XRGPFNGLRSIPSA-UHFFFAOYSA-N,C#CC(C)=O
SCDHTAAYEHJTGD-UHFFFAOYSA-N,CC(C)C(=O)C#CC1CCCCC1
MSRORZBOBVAASL-UHFFFAOYSA-N,CC(C)(C)C(=O)C#CC1CCCCC1
HXAOUYGZEOZTJO-UHFFFAOYSA-N,O=C(CCCCl)c1ccc(F)cc1
VQCWOGKZDGCRES-UHFFFAOYSA-N,O=C(c1cccc2ccccc12)C(F)(F)F
JWQLBVFFLIHXHA-UHFFFAOYSA-N,O=C(c1ccc2ccccc2c1)C(F)(F)F
MNCMBBIFTVWHIP-UHFFFAOYSA-N,O=C(c1c2ccccc2cc2ccccc12)C(F)(F)F
VUBUXALTYMBEQO-UHFFFAOYSA-N,O=C(c1ccccc1)C(F)(F)C(F)(F)F
UKYZDGAVBNKBPQ-UHFFFAOYSA-N,O=C(c1ccccc1)C(F)(F)C(F)(F)C(F)(F)F
NDQOKFMZSIKVBG-UHFFFAOYSA-N,CCCCCCCC(=O)C(F)(F)F
OQHGRUHRHLFMBX-UHFFFAOYSA-N,CCCCCCCCC(=O)C(F)(F)F
RPTSLLGEWZGTHJ-UHFFFAOYSA-N,O=C(C1CCCCC1)C(F)(F)F
QXGIWMOPVOXYCX-UHFFFAOYSA-N,CC(C)(C)C(=O)C#Cc1ccccc1
LISOVATZGSPQOC-UHFFFAOYSA-N,O=C(C#Cc1ccccc1)C(F)(F)F
KXSOGUNMZUFDEV-UHFFFAOYSA-N,O=C(C#Cc1ccccc1)CF
PWFHYGISSIMQKI-UHFFFAOYSA-N,O=C(C#Cc1ccccc1)C(F)F
VCARCPYEXCPAJO-UHFFFAOYSA-N,O=C(C#Cc1ccccc1)C(F)(F)C(F)(F)F
JLQHDTDAQBOUBB-UHFFFAOYSA-N,O=C(C#Cc1ccccc1)C(F)(F)C(F)(F)C(F)(F)F
RRJHAIWETICRET-UHFFFAOYSA-N,CCCCC#CC(=O)CF
CDGZCBOPYKCCLD-UHFFFAOYSA-N,CCCCC#CC(=O)C(F)F
XAXKYUYIYBKVHR-UHFFFAOYSA-N,CCCCC#CC(=O)C(F)(F)F
MKMFBYKRUQCCTG-UHFFFAOYSA-N,CCCCC#CC(=O)C(F)(F)C(F)(F)F
DPQDBEUDQJLCFS-UHFFFAOYSA-N,CCCCC#CC(=O)C(F)(F)C(F)(F)C(F)(F)F
XEUGKOFTNAYMMX-UHFFFAOYSA-N,COc1cccc(OC)c1C(C)=O
FAXUIYJKGGUCBO-UHFFFAOYSA-N,COc1ccc(OC)c(C(C)=O)c1
FHIOYMGCAXTUGF-UHFFFAOYSA-N,COc1ccc(C)cc1C(C)=O
CNVGMLMIQIPAFY-UHFFFAOYSA-N,COc1ccc(F)cc1C(C)=O
MLXBLQUBVDCARQ-UHFFFAOYSA-N,COc1c(Cl)cc(Cl)cc1C(C)=O
LUWXCCCGOWDRJL-UHFFFAOYSA-N,COC(=O)c1cc(OC)cc(OC)c1C(C)=O
CSUUDNFYSFENAE-UHFFFAOYSA-N,COc1ccccc1C(=O)c1ccccc1
DWFDQVMFSLLMPE-UHFFFAOYSA-N,O=C(c1ccccc1)c1ccccc1F
VMHYWKBKHMYRNF-UHFFFAOYSA-N,O=C(c1ccccc1)c1ccccc1Cl
ONZQYZKCUHFORE-UHFFFAOYSA-N,O=C(CBr)C(F)(F)F
UFOAYTOVTNNRKJ-UHFFFAOYSA-N,COC(=O)c1ccccc1C(C)=O
PJVVSYKDAYJZCV-UHFFFAOYSA-N,CCC(=O)c1ccccc1C(=O)OC
QTUYJWKFWYJIOM-UHFFFAOYSA-N,CCCCC(=O)c1ccccc1C(=O)OC
NQSMEZJWJJVYOI-UHFFFAOYSA-N,COC(=O)c1ccccc1C(=O)c1ccccc1
IQZLUWLMQNGTIW-UHFFFAOYSA-N,COc1ccc(C(C)=O)cc1OC
YLHXLHGIAMFFBU-UHFFFAOYSA-N,COC(=O)C(=O)c1ccccc1
QKLCQKPAECHXCQ-UHFFFAOYSA-N,CCOC(=O)C(=O)c1ccccc1
XXRCUYVCPSWGCC-UHFFFAOYSA-N,CCOC(=O)C(C)=O
BRUOEHVDTAORQY-UHFFFAOYSA-N,CCOC(=O)CCC(=O)c1ccccc1
GMEONFUTDYJSNV-UHFFFAOYSA-N,CCOC(=O)CCC(C)=O
XBYIXIAOQPIYHO-UHFFFAOYSA-N,CCOC(=O)CCCC(=O)c1ccccc1
CERJZAHSUZVMCH-UHFFFAOYSA-N,O=C(c1ccccc1)C(Cl)Cl
OAMHTTBNEJBIKA-UHFFFAOYSA-N,O=C(c1ccccc1)C(Cl)(Cl)Cl
BULLHNJGPPOUOX-UHFFFAOYSA-N,CC(=O)CCl
CSVFWMMPUJDVKH-UHFFFAOYSA-N,CC(=O)C(Cl)Cl
SMZHKGXSEAGRTI-UHFFFAOYSA-N,CC(=O)C(Cl)(Cl)Cl
YOMBUJAFGMOIGS-UHFFFAOYSA-N,O=C(CF)c1ccccc1
OLYKCPDTXVZOQF-UHFFFAOYSA-N,O=C(c1ccccc1)C(F)F
KZJRKRQSDZGHEC-UHFFFAOYSA-N,O=C(c1ccccc1)C(F)(F)F
MSWVMWGCNZQPIA-UHFFFAOYSA-N,CC(=O)CF
XHILZHAQBOLGFD-UHFFFAOYSA-N,CC(=O)C(F)F
FHUDAMLDXFJHJE-UHFFFAOYSA-N,CC(=O)C(F)(F)F
WXPWZZHELZEVPO-UHFFFAOYSA-N,Cc1ccc(C(=O)c2ccccc2)cc1
SWFHGTMLYIBPPA-UHFFFAOYSA-N,COc1ccc(C(=O)c2ccccc2)cc1
UGVRJVHOJNYEHR-UHFFFAOYSA-N,O=C(c1ccccc1)c1ccc(Cl)cc1
OHTYZZYAMUVKQS-UHFFFAOYSA-N,O=C(c1ccccc1)c1ccc(C(F)(F)F)cc1
PJRHFTYXYCVOSJ-UHFFFAOYSA-N,O=C(c1ccccc1)C1CC1
QMATYTFXDIWACW-UHFFFAOYSA-N,CC(=O)c1ccccc1F
ZDOYHCIRUPHUHN-UHFFFAOYSA-N,CC(=O)c1ccccc1Cl
FYDUUODXZQITBF-UHFFFAOYSA-N,CC(=O)c1ccccc1C(F)(F)F
YSZGCNKBKQQPAH-UHFFFAOYSA-N,CC(=O)Nc1ccccc1C(C)=O
FSPSELPMWGWDRY-UHFFFAOYSA-N,CC(=O)c1cccc(C)c1
HCEKGPAHZCYRBZ-UHFFFAOYSA-N,CC(=O)c1cccc(F)c1
ABXGMGUHGLQMAW-UHFFFAOYSA-N,CC(=O)c1cccc(C(F)(F)F)c1
MQESVSITPLILCO-UHFFFAOYSA-N,CCCCc1ccc(C(C)=O)cc1
QCZZSANNLWPGEA-UHFFFAOYSA-N,CC(=O)c1ccc(-c2ccccc2)cc1
HHAISVSEJFEWBZ-UHFFFAOYSA-N,CC(=O)c1ccc(C(F)(F)F)cc1
DQQVADFLIZSTDK-UHFFFAOYSA-N,CC(=O)c1ccc(C(=O)OC(C)C)cc1
YQYGPGKTNQNXMH-UHFFFAOYSA-N,CC(=O)c1ccc([N+](=O)[O-])cc1
GPRYKVSEZCQIHD-UHFFFAOYSA-N,CC(=O)c1ccc(N)cc1
RPMOHVRRKYJFSB-UHFFFAOYSA-N,CCC(=O)c1cccc(F)c1
PQWGFUFROKIJBO-UHFFFAOYSA-N,CCC(=O)c1cccc(Cl)c1
HSDSKVWQTONQBJ-UHFFFAOYSA-N,CC(=O)c1ccc(C)cc1C
QEWHNJPLPZOEKU-UHFFFAOYSA-N,CC(=O)c1ccc(F)cc1F
XMCRWEBERCXJCH-UHFFFAOYSA-N,CC(=O)c1ccc(Cl)cc1Cl
MHLYNSLYUWMONA-UHFFFAOYSA-N,CC(=O)c1ccc(C(F)(F)F)cc1C(F)(F)F
VUGQIIQFXCXZJU-UHFFFAOYSA-N,COc1cc(C(C)=O)cc(OC)c1OC
DYPQUENOGZXOGE-UHFFFAOYSA-N,O=C(c1ccc(Cl)cc1)C(F)(F)F
IHGSAQHSAGRWNI-UHFFFAOYSA-N,O=C(c1ccc(Br)cc1)C(F)(F)F
NCJZVRPXSSYDBG-UHFFFAOYSA-N,COc1ccc(C(=O)C(F)(F)F)cc1
ABEVIHIQUUXDMS-UHFFFAOYSA-N,O=C(c1ccccc1)c1ccccc1Br
PGNXIGKGMHOQCA-UHFFFAOYSA-N,Cc1ccc(C(=O)c2ccccc2Br)cc1
IEMMBWWQXVXBEU-UHFFFAOYSA-N,CC(=O)c1ccco1
YUAYWSBSIJVIBS-UHFFFAOYSA-N,CCCCCC(=O)c1ccco1
AFTUQMXNVYPAJO-UHFFFAOYSA-N,C=CCCCC(=O)c1ccco1
RNIDWJDZNNVFDY-UHFFFAOYSA-N,CC(=O)c1ccsc1
MOMFXATYAINJML-UHFFFAOYSA-N,CC(=O)c1nccs1
MYLYBCZMJRPTEU-UHFFFAOYSA-N,CC(=O)c1cccn1S(=O)(=O)c1ccc(C)cc1
AJKVQEKCUACUMD-UHFFFAOYSA-N,CC(=O)c1ccccn1
WEGYGNROSJDEIW-UHFFFAOYSA-N,CC(=O)c1cccnc1
WMQUKDQWMMOHSA-UHFFFAOYSA-N,CC(=O)c1ccncc1
OPPJOYDMQXHCFS-UHFFFAOYSA-N,CC(C)C(=O)c1ccccn1
HVCFCNAITDHQFX-UHFFFAOYSA-N,CC(=O)C1CC1
VFPKIWATTACVJR-UHFFFAOYSA-N,CC(=O)CN(C)C
SLOCEDWZEACARV-UHFFFAOYSA-N,CC(=O)CN(C)c1ccccc1
UMLWXYJZDNNBTD-UHFFFAOYSA-N,CN(C)CC(=O)c1ccccc1
WILPNXBAEMGDCS-UHFFFAOYSA-N,CC(=O)N(C)CC(=O)c1ccccc1
MIJZKZQWQXKSPA-UHFFFAOYSA-N,O=C(CNC(=O)c1ccccc1)c1ccccc1
KXARYBXYBGQZCM-UHFFFAOYSA-N,CN(CC(=O)c1ccccc1)C(=O)c1ccccc1
WFKSNAFHIMNMLV-UHFFFAOYSA-N,CN(CC(=O)c1ccccc1)C(=O)OC(C)(C)C
BLNSEHDIFVBBKV-UHFFFAOYSA-N,COc1ccc(CCN(CC(=O)c2ccc(OCc3ccccc3)cc2)C(=O)c2ccccc2)cc1OC
QMNXJNURJISYMS-UHFFFAOYSA-N,CN(C)CCC(=O)c1ccccc1
RRRLNSBRKAMGPF-UHFFFAOYSA-N,CN(C)CCC(=O)C1=[SH]C=CC1
QTGQNPULXWGQBL-UHFFFAOYSA-N,O=C(CCCN1CCN(C2=NCC(F)C=N2)CC1)c1ccc(F)cc1
QWAVNXZAQASOML-UHFFFAOYSA-N,CC(=O)COc1ccccc1
ULVSHNOGEVXRDR-UHFFFAOYSA-N,COC(OC)C(C)=O
PIZHFBODNLEQBL-UHFFFAOYSA-N,CCOC(OCC)C(=O)c1ccccc1
CAXIQKXPSQYDIR-CMDGGOBGSA-N,CC(C)C(=O)/C=C/c1ccccc1
HDKLIZDXVUCLHQ-BQYQJAHWSA-N,CCCCC/C=C/C(C)=O
VJQKJGLHKJYTQM-SNAWJCMRSA-N,C/C=C/C(=O)CC(C)C
PSQYTAPXSHCGMF-BQYQJAHWSA-N,CC(=O)/C=C/C1=C(C)CCCC1(C)C
FGGKJHHNBUNROM-SNAWJCMRSA-N,CC(=O)/C=C/C1=[SH]C=CC1
SHOJXDKTYKFBRD-UHFFFAOYSA-N,CC(=O)C=C(C)C
LTYLUDGDHUEBGX-UHFFFAOYSA-N,CC(=O)C1=CCCCC1
YNXGVXBSQAEVTO-UHFFFAOYSA-N,COc1ccc(OC)c2c1C=C(C(C)=O)CC2
CZSBBWHUCQLKNQ-UHFFFAOYSA-N,CC(=O)C1=CCCCCC1
HDURLXYBKGWETC-UHFFFAOYSA-N,CC(=O)C1=C(C)CCC1
RDYXHIZMFBMAOS-UHFFFAOYSA-N,COCOC(c1ncc(C(=O)c2ccccc2)s1)(C(F)(F)F)C(F)(F)F
VUVSIPWGRHQUGS-UHFFFAOYSA-N,CC(C)(C)[Si](C)(C)c1ncc(C(=O)c2ccccc2)s1
FHQKWASXMQBSCT-UHFFFAOYSA-N,CC1(c2ncc(C(=O)c3ccccc3)s2)OCCO1
DHLKAJJXHDNVDN-UHFFFAOYSA-N,CC(C)(C)[Si](C)(C)c1ncc(C(=O)c2ccc(OC(F)F)c(OC3CC3)c2)s1
LCWRNKBOWMZEKT-UHFFFAOYSA-N,Cc1ncc(C(=O)c2ccc(OC(F)F)c(OC3CC3)c2)s1
DNNFCPLFPRGBHI-UHFFFAOYSA-N,O=C(c1ccc(OC(F)F)c(OC2CC2)c1)c1cncs1
IYZPWGMIISJDTP-UHFFFAOYSA-N,O=C(c1ccc(OC(F)F)c(OC2CC2)c1)c1nccs1
LXZSCYZOMOPQEF-UHFFFAOYSA-N,Cc1nc(C(=O)c2ccccc2)cs1
KHXSJSBQIWAIEG-UHFFFAOYSA-N,O=C(c1ccc(Cl)cc1)c1ccccn1
ZYZQOYSKLICWGX-UHFFFAOYSA-N,COc1ccc(C(=O)c2ccccn2)cc1
GWXTVPWMINBKEI-UHFFFAOYSA-N,Cc1ccccc1C(=O)c1ccccn1
MDWCIKACMBMJFA-UHFFFAOYSA-N,O=C(c1ccccc1)c1nccc2ccccc12
RJOOVWVGRDXTKN-UHFFFAOYSA-N,COc1ccc(C(=O)c2cnc([Si](C)(C)C(C)(C)C)s2)cn1
XTIVLYSLPXZKLH-UHFFFAOYSA-N,COc1ccccc1C(=O)c1cnn(-c2ccccc2)c1
IJPGLDZXSJKFQQ-UHFFFAOYSA-N,CC(C)[Si](c1ncc(C(=O)c2ccccc2)o1)(C(C)C)C(C)C
GZTUXOWPGYDWNO-UHFFFAOYSA-N,O=C(c1ccccn1)c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12
GCSHUYKULREZSJ-UHFFFAOYSA-N,O=C(c1ccccc1)c1ccccn1
BHDAKOZHMSQCFH-UHFFFAOYSA-N,Cc1ccc(C(=O)c2ccccn2)cc1
DTEIFMBOVCPJGY-UHFFFAOYSA-N,O=C(c1cccc(Cl)c1)c1ccccn1
RYMBAPVTUHZCNF-UHFFFAOYSA-N,O=C(c1ccccc1)c1cccnc1
YIPODLIDWSBPJA-UHFFFAOYSA-N,Cc1ccccc1C(=O)c1cccnc1
CXDYOXSPZUWEQX-UHFFFAOYSA-N,Cc1ccc(C(=O)c2cccnc2)cc1
MDGKXQYPOIIMHW-UHFFFAOYSA-N,O=C(c1cccnc1)c1cccc(Cl)c1
SKFLCXNDKRUHTA-UHFFFAOYSA-N,O=C(c1ccccc1)c1ccncc1
FCHBFQQIEMUQIF-UHFFFAOYSA-N,O=C(c1ccccc1)c1ccnc2cc(Cl)ccc12
YAPSCCPUKNXEOX-UHFFFAOYSA-N,Cc1ccccc1C(=O)c1ccnc2cc(Cl)ccc12
ZKMWWSYZEDDBGZ-UHFFFAOYSA-N,Cc1ccc(C(=O)c2ccnc3cc(Cl)ccc23)cc1
YAEYBUZMILPYLT-UHFFFAOYSA-N,O=C(Cn1ccnc1)c1ccc(Cl)cc1Cl
